Year,Month,Index
1754,Apr,3.034212906
1754,May,3.023136826
1754,Jun,3.00818168
1754,Jul,2.97585862
1754,Aug,2.974793583
1754,Sep,2.99678357
1754,Oct,2.89423079
1754,Nov,2.898651989
1754,Dec,2.860232914
1755,Jan,2.817615003
1755,Feb,2.850094363
1755,Mar,2.839301499
1755,Apr,2.713753997
1755,May,2.694315799
1755,Jun,2.718379098
1755,Jul,2.686745674
1755,Aug,2.607913194
1755,Sep,2.621914714
1755,Oct,2.556820258
1755,Nov,2.539862227
1755,Dec,2.538379529
1756,Jan,2.526192394
1756,Feb,2.489514588
1756,Mar,2.46730591
1756,Apr,2.457478231
1756,May,2.441695656
1756,Jun,2.449593253
1756,Jul,2.435321043
1756,Aug,2.44454902
1756,Sep,2.462878296
1756,Oct,2.446357293
1756,Nov,2.468232607
1756,Dec,2.507466765
1757,Jan,2.486990512
1757,Feb,2.532566457
1757,Mar,2.482629605
1757,Apr,2.483717337
1757,May,2.49714412
1757,Jun,2.555101726
1757,Jul,2.545264024
1757,Aug,2.542725747
1757,Sep,2.511592186
1757,Oct,2.518112954
1757,Nov,2.605800682
1757,Dec,2.640298524
1758,Jan,2.60494316
1758,Feb,2.608810211
1758,Mar,2.629194385
1758,Apr,2.557210865
1758,May,2.481235298
1758,Jun,2.49894221
1758,Jul,2.460953622
1758,Aug,2.476454782
1758,Sep,2.471969402
1758,Oct,2.461616337
1758,Nov,2.432817928
1758,Dec,2.402859931
1759,Jan,2.35159923
1759,Feb,2.326572154
1759,Mar,2.308232585
1759,Apr,2.267890229
1759,May,2.32206625
1759,Jun,2.336824271
1759,Jul,2.348613253
1759,Aug,2.402438634
1759,Sep,2.454784825
1759,Oct,2.372855698
1759,Nov,2.327663593
1759,Dec,2.36608022
1760,Jan,2.366058023
1760,Feb,2.366220957
1760,Mar,2.406624228
1760,Apr,2.384455131
1760,May,2.401050201
1760,Jun,2.403355892
1760,Jul,2.405082305
1760,Aug,2.347783674
1760,Sep,2.338631704
1760,Oct,2.291238863
1760,Nov,2.253266745
1760,Dec,2.301228193
1761,Jan,2.48753057
1761,Feb,2.491439529
1761,Mar,2.466732213
1761,Apr,2.438793944
1761,May,2.372376557
1761,Jun,2.329678692
1761,Jul,2.211228533
1761,Aug,2.165625845
1761,Sep,2.057241458
1761,Oct,1.970156952
1761,Nov,1.980201543
1761,Dec,2.029455182
1762,Jan,2.041434206
1762,Feb,2.061774887
1762,Mar,2.06674001
1762,Apr,2.102458116
1762,May,2.336025626
1762,Jun,2.39971814
1762,Jul,2.363769539
1762,Aug,2.60126638
1762,Sep,2.673944597
1762,Oct,2.699410231
1762,Nov,2.814785038
1762,Dec,2.842610477
1763,Jan,2.810042846
1763,Feb,2.777154878
1763,Mar,2.773964134
1763,Apr,2.692451798
1763,May,2.60036763
1763,Jun,2.547647575
1763,Jul,2.484338815
1763,Aug,2.524079868
1763,Sep,2.555257788
1763,Oct,2.527257529
1763,Nov,2.558986747
1763,Dec,2.55565069
1764,Jan,2.553271755
1764,Feb,2.510079427
1764,Mar,2.520064119
1764,Apr,2.484127155
1764,May,2.470443392
1764,Jun,2.522671046
1764,Jul,2.552000264
1764,Aug,2.57991971
1764,Sep,2.657412039
1764,Oct,2.628234426
1764,Nov,2.651449025
1764,Dec,2.67689721
1765,Jan,2.686350883
1765,Feb,2.687891055
1765,Mar,2.753031318
1765,Apr,2.809725704
1765,May,2.814532873
1765,Jun,2.861218145
1765,Jul,2.843797593
1765,Aug,2.841110776
1765,Sep,2.856235209
1765,Oct,2.837257
1765,Nov,2.811287257
1765,Dec,2.81635838
1766,Jan,2.883005678
1766,Feb,2.960210992
1766,Mar,2.95243002
1766,Apr,3.068805454
1766,May,3.086294688
1766,Jun,3.177417173
1766,Jul,3.154645079
1766,Aug,3.136171149
1766,Sep,3.169134978
1766,Oct,3.236282488
1766,Nov,3.249313436
1766,Dec,3.288502823
1767,Jan,3.368743477
1767,Feb,3.334999781
1767,Mar,3.403510225
1767,Apr,3.364861575
1767,May,3.468469767
1767,Jun,3.538699712
1767,Jul,3.547979198
1767,Aug,3.559202077
1767,Sep,3.599054652
1767,Oct,3.579437809
1767,Nov,3.621909037
1767,Dec,3.693474437
1768,Jan,3.66341966
1768,Feb,3.7257296
1768,Mar,3.724094811
1768,Apr,3.597752285
1768,May,3.655294269
1768,Jun,3.609595113
1768,Jul,3.647526135
1768,Aug,3.572979294
1768,Sep,3.628966074
1768,Oct,3.595820018
1768,Nov,3.612318068
1768,Dec,3.641259674
1769,Jan,3.603607328
1769,Feb,3.458326156
1769,Mar,3.505551312
1769,Apr,3.457814986
1769,May,3.445057468
1769,Jun,3.390358085
1769,Jul,3.364062341
1769,Aug,3.261228921
1769,Sep,3.280899103
1769,Oct,3.150507777
1769,Nov,3.250536728
1769,Dec,3.273262385
1770,Jan,3.258583941
1770,Feb,3.382335098
1770,Mar,3.245573751
1770,Apr,3.223696706
1770,May,3.241616677
1770,Jun,3.03448836
1770,Jul,2.933301184
1770,Aug,2.822728708
1770,Sep,2.845284753
1770,Oct,3.107978962
1770,Nov,3.299699806
1770,Dec,3.182310179
1771,Jan,3.269510067
1771,Feb,3.333368407
1771,Mar,3.328443968
1771,Apr,3.281417788
1771,May,3.274926512
1771,Jun,3.227317804
1771,Jul,3.236741892
1771,Aug,3.22029368
1771,Sep,3.36078973
1771,Oct,3.286630113
1771,Nov,3.246340546
1771,Dec,3.265540749
1772,Jan,3.220526473
1772,Feb,3.295014316
1772,Mar,3.192029117
1772,Apr,3.187502505
1772,May,3.161276494
1772,Jun,3.072727448
1772,Jul,2.978510077
1772,Aug,2.903740125
1772,Sep,2.870350509
1772,Oct,2.843668878
1772,Nov,2.857539126
1772,Dec,2.791540638
1773,Jan,2.722376024
1773,Feb,2.701911573
1773,Mar,2.742312144
1773,Apr,2.76498807
1773,May,2.787847901
1773,Jun,2.797044673
1773,Jul,2.74409779
1773,Aug,2.696927653
1773,Sep,2.707231555
1773,Oct,2.680952691
1773,Nov,2.689741111
1773,Dec,2.71380731
1774,Jan,2.729326732
1774,Feb,2.805445341
1774,Mar,2.824602092
1774,Apr,2.799174196
1774,May,2.797867834
1774,Jun,2.805063101
1774,Jul,2.772973925
1774,Aug,2.815066841
1774,Sep,2.855053723
1774,Oct,2.855876636
1774,Nov,2.867845101
1774,Dec,2.943858952
1775,Jan,2.857840596
1775,Feb,2.851737289
1775,Mar,2.833244715
1775,Apr,2.791473586
1775,May,2.839499571
1775,Jun,2.861580525
1775,Jul,2.842966108
1775,Aug,2.920579591
1775,Sep,2.919386052
1775,Oct,2.886134619
1775,Nov,2.861731215
1775,Dec,2.852125569
1776,Jan,2.836483048
1776,Feb,2.806773543
1776,Mar,2.843807097
1776,Apr,2.785504078
1776,May,2.85695841
1776,Jun,2.876109162
1776,Jul,2.824052431
1776,Aug,2.84832412
1776,Sep,2.863006382
1776,Oct,2.818706393
1776,Nov,2.80422257
1776,Dec,2.792118643
1777,Jan,2.786090866
1777,Feb,2.820170164
1777,Mar,2.808977143
1777,Apr,2.682347983
1777,May,2.709787514
1777,Jun,2.738385232
1777,Jul,2.753413599
1777,Aug,2.735179095
1777,Sep,2.616728981
1777,Oct,2.554311943
1777,Nov,2.424727326
1777,Dec,2.190382629
1778,Jan,2.182977291
1778,Feb,2.250377232
1778,Mar,2.27183622
1778,Apr,2.255905361
1778,May,2.314711203
1778,Jun,2.328630648
1778,Jul,2.347621025
1778,Aug,2.293794975
1778,Sep,2.25472095
1778,Oct,2.254565991
1778,Nov,2.265448615
1778,Dec,2.38260418
1779,Jan,2.422145902
1779,Feb,2.433947845
1779,Mar,2.298583471
1779,Apr,2.256162516
1779,May,2.291892263
1779,Jun,2.317627376
1779,Jul,2.316728775
1779,Aug,2.307826239
1779,Sep,2.321703876
1779,Oct,2.349393958
1779,Nov,2.375650947
1779,Dec,2.392775122
1780,Jan,2.397467959
1780,Feb,2.359180935
1780,Mar,2.373299736
1780,Apr,2.446433436
1780,May,2.389785054
1780,Jun,2.367188656
1780,Jul,2.364973268
1780,Aug,2.347355935
1780,Sep,2.382856071
1780,Oct,2.289037713
1780,Nov,2.268647383
1780,Dec,2.295057809
1781,Jan,2.318172424
1781,Feb,2.299502366
1781,Mar,2.34431386
1781,Apr,2.234006601
1781,May,2.269394556
1781,Jun,2.273284297
1781,Jul,2.218281069
1781,Aug,2.456561274
1781,Sep,2.249986265
1781,Oct,2.21902173
1781,Nov,2.19370085
1781,Dec,2.219409414
1782,Jan,2.27178986
1782,Feb,2.287129542
1782,Mar,2.283674499
1782,Apr,2.221403426
1782,May,2.203221399
1782,Jun,2.243230661
1782,Jul,2.265083025
1782,Aug,2.299395104
1782,Sep,2.397872079
1782,Oct,2.497638419
1782,Nov,2.54436995
1782,Dec,2.579029831
1783,Jan,2.538789944
1783,Feb,2.519701298
1783,Mar,2.492588358
1783,Apr,2.464321791
1783,May,2.452796968
1783,Jun,2.421950896
1783,Jul,2.381526085
1783,Aug,2.221709546
1783,Sep,2.231694304
1783,Oct,2.220425854
1783,Nov,2.2352207
1783,Dec,2.264719317
1784,Jan,2.235365784
1784,Feb,2.230184
1784,Mar,2.213517305
1784,Apr,2.212108904
1784,May,2.245439026
1784,Jun,2.19048625
1784,Jul,2.185679688
1784,Aug,2.218826388
1784,Sep,2.250698632
1784,Oct,2.286477986
1784,Nov,2.250894902
1784,Dec,2.260722293
1785,Jan,2.271063459
1785,Feb,2.303010172
1785,Mar,2.331733648
1785,Apr,2.325099405
1785,May,2.381729228
1785,Jun,2.449464726
1785,Jul,2.54972607
1785,Aug,2.726849095
1785,Sep,2.75539257
1785,Oct,2.814227671
1785,Nov,2.787482036
1785,Dec,2.738671383
1786,Jan,2.726844408
1786,Feb,2.827891006
1786,Mar,2.823092205
1786,Apr,2.892007289
1786,May,3.025556021
1786,Jun,2.969889125
1786,Jul,2.933035836
1786,Aug,2.889871071
1786,Sep,2.91885242
1786,Oct,2.889473837
1786,Nov,2.927298499
1786,Dec,2.989101247
1787,Jan,2.994337872
1787,Feb,3.005387444
1787,Mar,2.930471573
1787,Apr,2.868208789
1787,May,2.966677174
1787,Jun,2.835404986
1787,Jul,2.933002314
1787,Aug,3.052318006
1787,Sep,3.130917002
1787,Oct,3.035036789
1787,Nov,3.004482693
1787,Dec,3.161696554
1788,Jan,3.15371173
1788,Feb,3.121362026
1788,Mar,3.134296681
1788,Apr,3.088412017
1788,May,3.089949871
1788,Jun,3.097682719
1788,Jul,3.106181254
1788,Aug,3.057810432
1788,Sep,3.048653157
1788,Oct,2.997814518
1788,Nov,3.100686863
1788,Dec,3.109809148
1789,Jan,3.125948917
1789,Feb,3.156000355
1789,Mar,3.198176953
1789,Apr,3.250760764
1789,May,3.29324198
1789,Jun,3.323545492
1789,Jul,3.284121854
1789,Aug,3.237148871
1789,Sep,3.236063249
1789,Oct,3.251404718
1789,Nov,3.234482202
1789,Dec,3.273011305
1790,Jan,3.26151371
1790,Feb,2.943718519
1790,Mar,2.984755227
1790,Apr,3.014204402
1790,May,3.138478853
1790,Jun,3.101661309
1790,Jul,2.977690587
1790,Aug,3.200671138
1790,Sep,3.245036318
1790,Oct,3.226790962
1790,Nov,3.222389195
1790,Dec,3.069847221
1791,Jan,3.194546328
1791,Feb,3.195372663
1791,Mar,3.027169338
1791,Apr,3.291121362
1791,May,3.515966119
1791,Jun,3.612400176
1791,Jul,3.531220661
1791,Aug,3.489793735
1791,Sep,3.530860843
1791,Oct,3.654096793
1791,Nov,3.898985672
1791,Dec,3.953861297
1792,Jan,3.77241542
1792,Feb,3.757790168
1792,Mar,3.787015063
1792,Apr,3.793115054
1792,May,3.667694664
1792,Jun,3.773879376
1792,Jul,3.739202413
1792,Aug,3.243031875
1792,Sep,3.279324316
1792,Oct,3.229480617
1792,Nov,3.266873667
1792,Dec,3.459082701
1793,Jan,3.466813247
1793,Feb,3.467929868
1793,Mar,3.487211163
1793,Apr,3.536165128
1793,May,3.488988373
1793,Jun,3.435081435
1793,Jul,3.39539773
1793,Aug,3.455052866
1793,Sep,3.403362397
1793,Oct,3.335041809
1793,Nov,3.287816279
1793,Dec,3.306760927
1794,Jan,3.423443205
1794,Feb,3.420163094
1794,Mar,3.322371006
1794,Apr,3.331546158
1794,May,3.308145444
1794,Jun,3.296109355
1794,Jul,3.256914548
1794,Aug,3.202733207
1794,Sep,3.252645579
1794,Oct,3.071874382
1794,Nov,3.056357441
1794,Dec,3.161007915
1795,Jan,3.22523812
1795,Feb,3.280968389
1795,Mar,3.334661923
1795,Apr,3.342867516
1795,May,3.360790515
1795,Jun,3.38845883
1795,Jul,3.344705262
1795,Aug,3.380798079
1795,Sep,3.584767797
1795,Oct,3.556297861
1795,Nov,3.527599085
1795,Dec,3.57907913
1796,Jan,3.404600498
1796,Feb,3.241589208
1796,Mar,3.185928736
1796,Apr,3.0622133
1796,May,2.893698866
1796,Jun,2.955815076
1796,Jul,2.947008678
1796,Aug,2.927211308
1796,Sep,2.833115764
1796,Oct,2.87832517
1796,Nov,2.723082577
1796,Dec,2.534356393
1797,Jan,2.493887494
1797,Feb,2.380163965
